clip,clip_guid,event
Assets/Art/Anim_Skill/sk_bo1_atk1.anim,028d396f015c00041a13847633d256af,EventEnd_Destroy
Assets/Art/Anim_Skill/sk_bo1_atk3 1.anim,646b24c322e82244fa85b72b7077d6c1,EventEnd_Destroy
Assets/Art/Anim_Skill/sk_bo1_atk3.anim,f977a360756a0a1489b6579c5968b534,EventEnd_Destroy
Assets/Art/Anim_Skill/sk_bo1_atk5 1.anim,76b3ae5ac13bd7643b9973b9fd70fa8a,EventEnd_Destroy
Assets/Art/Anim_Skill/sk_bo1_atk5.anim,f49e4b00bc8a3e34ab5a6b33a86b8468,EventEnd_Destroy
Assets/Art/Image/Boss/Skill5/boos1_atk5.anim,767882ebdab486e498bfa708dff859ed,Cerate
Assets/Art/Image/Boss/Skill5/boos1_atk5.anim,767882ebdab486e498bfa708dff859ed,End
Assets/Art/Image/Hero/Sequence/Chongci/dash.anim,cbb65f57cfa1cec4d86d88bdbc693e1a,DashWD
Assets/Art/Image/Hero/Sequence/Chongci/dash.anim,cbb65f57cfa1cec4d86d88bdbc693e1a,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Chongci/dash.anim,cbb65f57cfa1cec4d86d88bdbc693e1a,DashWD
Assets/Art/Image/Hero/Sequence/Chongci/dash.anim,cbb65f57cfa1cec4d86d88bdbc693e1a,DashEnd
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Hong/gongji_chuizi_hong.anim,c6c60deb5adb6b349a1f32bf32f9f8f9,Attack
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Hong/gongji_chuizi_hong.anim,c6c60deb5adb6b349a1f32bf32f9f8f9,PlayAuido
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Hong/xuli_do_hong.anim,8a58dc3731bdd2849a0ddf54d20b1c57,PlayAuido
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Hong/xuli_yu_hong.anim,93de6c3c5b898d548ba0c2020763047c,PlayAuido
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Lv/gongji_chuizi_lv.anim,df50129472122cf419fddd2df1e0f88d,Attack
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Lv/gongji_chuizi_lv.anim,df50129472122cf419fddd2df1e0f88d,PlayAuido
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Lv/xuli_do_lv.anim,9bbeff943a0c6c54e81c38db0500b724,PlayAuido
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Lv/xuli_yu_lv.anim,db9296c56d0d8834e8247b3dcedca71f,PlayAuido
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Zi/gongji_chuizi_zi.anim,594be4b18ab4dd5419487c3465bf4679,Attack
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Zi/gongji_chuizi_zi.anim,594be4b18ab4dd5419487c3465bf4679,PlayAuido
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Zi/xuli_do_zi.anim,ae1146d999046fd4d8bf89b708701129,PlayAuido
Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Zi/xuli_yu_zi.anim,e53827e0e12a07147b489d9075fddcf5,PlayAuido
Assets/Art/Image/Hero/Sequence/Chuizi/yidong/yidong_cuizi_hong.anim,eb06794d9626e0f469675e81e2a0979a,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Chuizi/yidong/yidong_cuizi_lv.anim,b1707bb5ba0f7384fbcfb52db8d5e9d8,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Chuizi/yidong/yidong_cuizi_zi.anim,7f3100bb281325c40a6662b639c0e808,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_chen.anim,744746b92ee0fc446bc9228b4efd8993,SkillMove
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_chen.anim,744746b92ee0fc446bc9228b4efd8993,Wudi
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_chen.anim,744746b92ee0fc446bc9228b4efd8993,Attack
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_chen.anim,744746b92ee0fc446bc9228b4efd8993,PlayAuido
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_chen.anim,744746b92ee0fc446bc9228b4efd8993,SkillMove
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_chen.anim,744746b92ee0fc446bc9228b4efd8993,Wudi
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_hong.anim,ff8b57f88a4ae3546a661925c811a53a,SkillMove
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_hong.anim,ff8b57f88a4ae3546a661925c811a53a,Wudi
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_hong.anim,ff8b57f88a4ae3546a661925c811a53a,Attack
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_hong.anim,ff8b57f88a4ae3546a661925c811a53a,PlayAuido
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_hong.anim,ff8b57f88a4ae3546a661925c811a53a,SkillMove
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_hong.anim,ff8b57f88a4ae3546a661925c811a53a,Wudi
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_lv.anim,54aa78c08c9b60841b83e2156d175a18,SkillMove
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_lv.anim,54aa78c08c9b60841b83e2156d175a18,Wudi
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_lv.anim,54aa78c08c9b60841b83e2156d175a18,Attack
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_lv.anim,54aa78c08c9b60841b83e2156d175a18,PlayAuido
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_lv.anim,54aa78c08c9b60841b83e2156d175a18,SkillMove
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_lv.anim,54aa78c08c9b60841b83e2156d175a18,Wudi
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_zhi.anim,e4d7ee77696e4ea4f861bf72c64342d7,SkillMove
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_zhi.anim,e4d7ee77696e4ea4f861bf72c64342d7,Wudi
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_zhi.anim,e4d7ee77696e4ea4f861bf72c64342d7,Attack
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_zhi.anim,e4d7ee77696e4ea4f861bf72c64342d7,PlayAuido
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_zhi.anim,e4d7ee77696e4ea4f861bf72c64342d7,SkillMove
Assets/Art/Image/Hero/Sequence/Dao/gongji/gongji_dao_zhi.anim,e4d7ee77696e4ea4f861bf72c64342d7,Wudi
Assets/Art/Image/Hero/Sequence/Dao/yidong/yidong_dao_chen.anim,8f321f065908a4447a7ba8f9032c4043,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Dao/yidong/yidong_dao_hong.anim,1634097edda18d447943c5546434ed99,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Dao/yidong/yidong_dao_lv.anim,ed29896ecc26c6d40a0d3604b1c74129,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Dao/yidong/yidong_dao_zhi.anim,c79127d3e176fe04ca88b57162649ee7,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_chen.anim,f889f73b52648da45b0f8972a5b49e7b,Attack
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_chen.anim,f889f73b52648da45b0f8972a5b49e7b,PlayAuido
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_chen.anim,f889f73b52648da45b0f8972a5b49e7b,Wudi
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_hong.anim,7aef8cd8c2a76134ea42c5ee787560db,Attack
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_hong.anim,7aef8cd8c2a76134ea42c5ee787560db,PlayAuido
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_hong.anim,7aef8cd8c2a76134ea42c5ee787560db,Wudi
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_lv.anim,35d1ecc1cf85fbc4ca7406d9cdf025d4,Attack
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_lv.anim,35d1ecc1cf85fbc4ca7406d9cdf025d4,PlayAuido
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_lv.anim,35d1ecc1cf85fbc4ca7406d9cdf025d4,Wudi
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_zi.anim,a6557c83e9f86c14698e28fa3836f445,Attack
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_zi.anim,a6557c83e9f86c14698e28fa3836f445,PlayAuido
Assets/Art/Image/Hero/Sequence/feiji/gongji/gongji_feiji_zi.anim,a6557c83e9f86c14698e28fa3836f445,Wudi
Assets/Art/Image/Hero/Sequence/feiji/qi_feiji.anim,dfc0a005fe75c474a919dd7ab2bb1949,Wudi
Assets/Art/Image/Hero/Sequence/feiji/skill/feiji_chen 1.anim,2f4b18a3cc3f22b429d79a9d3fa8c51e,OnFXEnd
Assets/Art/Image/Hero/Sequence/feiji/skill/feiji_hong 1.anim,8e6dda5463960f94b8857f50cc409cca,OnFXEnd
Assets/Art/Image/Hero/Sequence/feiji/skill/feiji_lv 1.anim,941c8b36c1537f74e967390d29af807f,OnFXEnd
Assets/Art/Image/Hero/Sequence/feiji/skill/feiji_zi 1.anim,fc5a845d4a029ed4098c16600c84b22b,OnFXEnd
Assets/Art/Image/Hero/Sequence/feiji/yidong/yidong_feiji_chen.anim,b3b711c13e6dbf344a5e80c947a7714d,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/feiji/yidong/yidong_feiji_hong.anim,a26f012e8139309459f29e9d470839b9,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/feiji/yidong/yidong_feiji_lv.anim,aae2c8c7f2260af42b32b1b00f297668,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/feiji/yidong/yidong_feiji_zi.anim,cb08947fde136024c9fa429212b77a40,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/futou/gongji/chen/gongji_futou_chen.anim,9540024cfc82e00458db1aed61a54e7f,Attack
Assets/Art/Image/Hero/Sequence/futou/gongji/chen/gongji_futou_chen.anim,9540024cfc82e00458db1aed61a54e7f,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/chen/xuli_do_f_chen.anim,c506fa2c8ffd3874882c5709b3c36e60,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/chen/xuli_yu_f_chen.anim,36b87e1f75681f04894ecbaa4d75d963,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/hong/gongji_futou_hong.anim,8cc1dc6e0ff02eb46ad6a7dc7b8bb65a,Attack
Assets/Art/Image/Hero/Sequence/futou/gongji/hong/gongji_futou_hong.anim,8cc1dc6e0ff02eb46ad6a7dc7b8bb65a,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/hong/xuli_do_f_hong.anim,e724722cc4e342149ba206c90f0dc508,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/hong/xuli_yu_f_hong.anim,be42d41559315274685da642fd85fc7d,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/lv/gongji_futou_lv.anim,585aed92062117c4e837bd05cd3e3bce,Attack
Assets/Art/Image/Hero/Sequence/futou/gongji/lv/gongji_futou_lv.anim,585aed92062117c4e837bd05cd3e3bce,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/lv/xuli_do_f_lv.anim,a9025f7b89aabb4419125a1a2b2a2368,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/lv/xuli_yu_f_lv.anim,b3c90da36e3c780438dc46c79a8fa4a6,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/zhi/gongji_futou_zhi.anim,24ab35a5d28b0ee419ed43abedac56c4,Attack
Assets/Art/Image/Hero/Sequence/futou/gongji/zhi/gongji_futou_zhi.anim,24ab35a5d28b0ee419ed43abedac56c4,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/zhi/xuli_do_f_zhi.anim,f2ce63319c1878840832d145512c101b,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/gongji/zhi/xuli_yu_f_zhi.anim,151fe6410cb029c4196b75804221607d,PlayAuido
Assets/Art/Image/Hero/Sequence/futou/yidong/yidong_futou_chen.anim,637f8dbf2b1c6e54882aeceb013382f3,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/futou/yidong/yidong_futou_hong.anim,be8e7fc51f0f40b4b83e2381879ec4e6,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/futou/yidong/yidong_futou_lv.anim,9b2fc78c3e1c83e4091b4d4f1b3c5503,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/futou/yidong/yidong_futou_zi.anim,6f2dbf6c4dad098478f9575c8b7702a8,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Gongji/Atk_nor.anim,cf06a929ea766bb45ba6ccb5841f73dc,Attack
Assets/Art/Image/Hero/Sequence/Gongji/Atk_nor.anim,cf06a929ea766bb45ba6ccb5841f73dc,PlayAuido
Assets/Art/Image/Hero/Sequence/Gongji/HitFX_Nor.anim,6f0f008c3a6b0974b88c2da807dfd0f6,OnFXEnd
Assets/Art/Image/Hero/Sequence/jiandao/gongji/gongji_jiandao_hong.anim,52d3cd10bc92ef34c83769ab58c7d7d8,Attack
Assets/Art/Image/Hero/Sequence/jiandao/gongji/gongji_jiandao_hong.anim,52d3cd10bc92ef34c83769ab58c7d7d8,PlayAuido
Assets/Art/Image/Hero/Sequence/jiandao/gongji/gongji_jiandao_hong.anim,52d3cd10bc92ef34c83769ab58c7d7d8,Attack
Assets/Art/Image/Hero/Sequence/jiandao/gongji/gongji_jiandao_lv.anim,9f71bffbbfa552d4c952edfa3b0430bb,Attack
Assets/Art/Image/Hero/Sequence/jiandao/gongji/gongji_jiandao_lv.anim,9f71bffbbfa552d4c952edfa3b0430bb,PlayAuido
Assets/Art/Image/Hero/Sequence/jiandao/gongji/gongji_jiandao_lv.anim,9f71bffbbfa552d4c952edfa3b0430bb,Attack
Assets/Art/Image/Hero/Sequence/jiandao/gongji/gongji_jiandao_zi.anim,2beef1938d18cda4fb6f9a2b3908f71e,Attack
Assets/Art/Image/Hero/Sequence/jiandao/gongji/gongji_jiandao_zi.anim,2beef1938d18cda4fb6f9a2b3908f71e,PlayAuido
Assets/Art/Image/Hero/Sequence/jiandao/gongji/gongji_jiandao_zi.anim,2beef1938d18cda4fb6f9a2b3908f71e,Attack
Assets/Art/Image/Hero/Sequence/jiandao/gongji/Skill/HitFX_Jiandao1.anim,05f86b91682177d46ad27ce5c8d984e7,OnFXEnd
Assets/Art/Image/Hero/Sequence/jiandao/gongji/Skill/HitFX_Jiandao2.anim,841935fba8c15d343b8c541dd4abeeed,OnFXEnd
Assets/Art/Image/Hero/Sequence/jiandao/yidong/yidong_jiandao_hong.anim,be8a1006eb68d6344a23bbf21f3d1daf,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/jiandao/yidong/yidong_jiandao_lv.anim,97f1f5a7ad26429458cfb1acc6d678cc,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/jiandao/yidong/yidong_jiandao_zi.anim,4a50f1c6f9c17654f9da652aada3a409,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Shouji/shouji.anim,66144e5063a1872419060ddf9f9bf928,Hit
Assets/Art/Image/Hero/Sequence/Shouji/shouji.anim,66144e5063a1872419060ddf9f9bf928,PlayAuido
Assets/Art/Image/Hero/Sequence/Shouji/shouji.anim,66144e5063a1872419060ddf9f9bf928,Hit
Assets/Art/Image/Hero/Sequence/Shouji/shouji.anim,66144e5063a1872419060ddf9f9bf928,Hit
Assets/Art/Image/Hero/Sequence/Siwang/death.anim,1db455ae2cec71a46a8edb3d3cd900db,PlayAuido
Assets/Art/Image/Hero/Sequence/Siwang/sc/death_sc.anim,ee7c07b930aaea443aef795b90f8ebdf,DeathOver
Assets/Art/Image/Hero/Sequence/Siwang/sc/death_sc.anim,ee7c07b930aaea443aef795b90f8ebdf,DeathOver
Assets/Art/Image/Hero/Sequence/Yidong/move_.anim,981acae34109c224ba8a49f5f4bdbf43,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Zhadan/gongji/gongji_zhadan_hong.anim,c39386e582045064a87f10fc1bfacdc5,Attack
Assets/Art/Image/Hero/Sequence/Zhadan/gongji/gongji_zhadan_lv.anim,e01998621268377478aca4971eebaeb2,Attack
Assets/Art/Image/Hero/Sequence/Zhadan/gongji/gongji_zhadan_zi.anim,21a0975927a72fd4e80c6b2ad2395535,Attack
Assets/Art/Image/Hero/Sequence/Zhadan/skill/zhadan_hong 1.anim,62fa03aed2cc88c47b41fd26b85a2a2b,OnFXEnd
Assets/Art/Image/Hero/Sequence/Zhadan/skill/zhadan_lv 1.anim,71763f5e0325ccd4bbcb6b052d51cb3a,OnFXEnd
Assets/Art/Image/Hero/Sequence/Zhadan/skill/zhadan_zi 1.anim,81c5be1a40d972f46b9c2d4e3def0bd9,OnFXEnd
Assets/Art/Image/Hero/Sequence/Zhadan/yidong/yidong_zhadan_hong.anim,849b22c1670af564aa73378f3b74e8c1,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Zhadan/yidong/yidong_zhadan_lv.anim,702653f01fdf74f4296f3a41d89d1db5,PlayAuido_Random
Assets/Art/Image/Hero/Sequence/Zhadan/yidong/yidong_zhadan_zi.anim,e1b06b20f6071bf4094113c474eb2661,PlayAuido_Random
