#	ColorTiming weapon spawn rule entries									
#	Id		RuleId	SpawnInterval	ActiveLimit	GuaranteeThreshold	MinimumAnchorDistance	TutorialDamageLimit	Color	Type
#	int		int	float	int	int	float	int	int	int
#		Note	Spawn rule id	Spawn cadence	Active weapon limit	Weakness guarantee threshold	Minimum distance to an occupied anchor	Damage count after which tips stop	Allowed WeaponColor	Allowed WeaponType
	1	Unique row id	1	5	5	3	1	3	0	1
	2		1	5	5	3	1	3	0	2
	3		1	5	5	3	1	3	0	3
	4		1	5	5	3	1	3	1	1
	5		1	5	5	3	1	3	1	2
	6		1	5	5	3	1	3	1	3
	7		1	5	5	3	1	3	2	1
	8		1	5	5	3	1	3	2	2
	9		1	5	5	3	1	3	2	3
	10		2	5	10	3	1	3	0	4
	11		2	5	10	3	1	3	0	5
	12		2	5	10	3	1	3	0	6
	13		2	5	10	3	1	3	1	4
	14		2	5	10	3	1	3	1	5
	15		2	5	10	3	1	3	1	6
	16		2	5	10	3	1	3	2	4
	17		2	5	10	3	1	3	2	5
	18		2	5	10	3	1	3	2	6
	19		2	5	10	3	1	3	3	4
	20		2	5	10	3	1	3	3	5
	21		2	5	10	3	1	3	3	6
